vehicle_id,v2x_messages_transmitted,neighbor_vehicles,communication_success_rate,gps_consistency,sensor_signal_strength,speed,acceleration_variance,behavioral_consistency,label
1,7370,42,84.31350304795434,0.8466693495377354,0.8485679029459046,61.5818568018411,4.88463699423351,0.7123247094866666,real
2,960,49,93.17770940465314,0.8205336401962973,0.8243194783844078,74.85884150546885,4.777865148707438,0.8041865422917093,real
3,5490,28,87.87728811308317,0.9981545166699095,0.6376441067259301,60.273948474683074,4.020674155485172,0.7795685567508024,real
4,5291,31,93.02465954082984,0.9640944286446781,0.5781032843433109,71.96116758030075,1.2841287120140075,0.9058273461830461,real
5,5834,9,82.13186060615982,0.887021787447832,0.8179701634133554,119.65263087986192,0.4333828390491815,0.9846371493075754,fake
6,6365,29,93.15690609206072,0.8708132083546848,0.7996510580697189,33.52173137128547,1.6528302748310615,0.7804141562135913,real
7,566,14,99.98827451541334,0.8861981439473752,0.5896780051446204,87.54560453364256,1.4072932922257713,0.9434397817455045,real
8,4526,40,80.96424077721112,0.76039363234673,0.8525695727852817,59.600096638561524,2.57903642071733,0.7166079450815228,real
9,5678,41,99.54348368442635,0.8185413229792955,0.7275859958668283,33.300979890732876,3.9108667593321864,0.861436303011944,real
10,8422,22,88.13815921445742,0.7118378598672698,0.8338802958015765,35.87367633743095,4.305782400506404,0.7211650191129684,real
11,1785,11,97.41506900674518,0.842663811246048,0.9186835398850753,114.92731062456168,4.239834018511492,0.9802098973391917,real
12,869,23,95.64770968116547,0.8629073751872989,0.5848642142884616,107.9601496711762,1.8624102499930322,0.929905384167217,real
13,7049,1,91.34032521973336,0.7683249208309628,0.5095724339984183,110.70419604150219,3.4674482829573465,0.8973849733613777,real
14,2533,46,94.76898418502653,0.9892086541496541,0.8895512931978934,119.15327758273865,1.6328875678686783,0.9471689144873993,real
15,5411,37,97.57031122602696,0.9728363832811726,0.804848712576308,40.83153900085179,0.3984371618523953,0.8942559386710489,real
16,5151,21,88.08280643302066,0.9166429706367718,0.8498197848110609,55.543933736406174,3.5376698014544177,0.9906833191522874,real
17,6520,26,86.54066323126477,0.8600159886296088,0.9190774874943213,86.92190299248666,0.14815500759196046,0.9141873843594315,real
18,1284,46,93.3518677112717,0.9609907478943055,0.9014054674122502,68.38025398606473,2.104994678546594,0.977397582874674,real
19,4655,36,96.15691883882516,0.7391957031470389,0.9804600734644123,61.83895333783335,1.7139584195801714,0.8551395676031914,real
20,3485,23,95.24570269553232,0.9371529382824655,0.7679675394260591,55.781124933559305,3.4975499387423774,0.7351193238945588,real
21,6496,1,95.95627297717269,0.7374462441900544,0.7442478163299526,79.37806319434523,3.854602816525857,0.8584533164269051,real
22,8766,40,88.71166629625866,0.9382631987648216,0.700943599945365,77.5593428640082,1.590063716259291,0.738061848418928,real
23,9374,15,96.35668432350043,0.7827302704754071,0.5768455214221022,36.14578340642401,4.0769723707797825,0.8777480437529215,real
24,2658,21,82.40418110741217,0.9631271743054567,0.7863036164410112,67.1739837518439,1.5401921264741756,0.8447479181582989,real
25,7949,47,90.88978195921699,0.9832126281476193,0.6385062621629893,75.34717762098498,2.2869991639341505,0.8867726193498345,real
26,2147,9,80.11517320996244,0.7446387908215346,0.9606537561064877,77.02869387313905,3.6623907823692567,0.7030140943164495,real
27,2847,9,86.49171659800541,0.838802681519618,0.7915954021385487,41.010719291235176,3.4953091232014644,0.7584521474966092,real
28,9267,10,87.32923069742796,0.9942962134488056,0.796420090254055,94.22713922522868,4.93810551432978,0.8473991295736393,real
29,289,26,87.9234538321851,0.8450222307919439,0.677462330438505,22.519909482106964,1.2032890186580663,0.9851510684767404,real
30,2834,41,93.90934413379725,0.9590642567543635,0.5259946759888537,55.483185554316265,3.345357776343954,0.8150827121065475,fake
31,3105,35,87.77116202540691,0.8766194566393959,0.5158718826864943,98.02126485356335,3.0874413505513094,0.8273116078160904,real
32,4758,25,88.97387245245062,0.8125989723758805,0.7116675720765988,76.38929210554024,4.583982427001146,0.9144088267019866,real
33,1999,26,84.75088261748655,0.785735066657761,0.542282689048619,46.116243251086026,0.8661744940598878,0.8811378271858354,real
34,7834,11,87.4650358325868,0.7609669273258262,0.8034234777700695,89.49531193430477,3.783811001575972,0.7896778450294999,real
35,1367,38,84.54539254526303,0.9285394574133091,0.9404865028198287,76.73909441560734,2.884516219716965,0.8232449186702283,real
36,1628,2,81.46391847536887,0.8159621520469084,0.9414574082593611,99.62436094563871,1.4458627619607367,0.7653099396571696,real
